example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/filewatcher/snapshot_spec.rb[1:1:1] | passed | 0.00075 seconds |
./spec/filewatcher/snapshot_spec.rb[1:2:1] | passed | 1 second        |
./spec/filewatcher/version_spec.rb[1:1]    | passed | 0.00079 seconds |
./spec/filewatcher_spec.rb[1:1:1]          | passed | 0.01153 seconds |
./spec/filewatcher_spec.rb[1:2:1:1:1]      | passed | 6.02 seconds    |
./spec/filewatcher_spec.rb[1:2:1:2:1]      | passed | 5.01 seconds    |
./spec/filewatcher_spec.rb[1:2:1:3:1]      | passed | 5.01 seconds    |
./spec/filewatcher_spec.rb[1:2:1:4:1]      | passed | 5.01 seconds    |
./spec/filewatcher_spec.rb[1:2:1:5:1]      | passed | 5.01 seconds    |
./spec/filewatcher_spec.rb[1:2:1:6:1]      | passed | 5.02 seconds    |
./spec/filewatcher_spec.rb[1:2:1:7:1]      | passed | 5.02 seconds    |
./spec/filewatcher_spec.rb[1:2:2:1:1]      | passed | 2 seconds       |
./spec/filewatcher_spec.rb[1:2:2:1:2:1]    | passed | 2 seconds       |
./spec/filewatcher_spec.rb[1:2:2:2:1]      | passed | 2 seconds       |
./spec/filewatcher_spec.rb[1:2:2:2:2:1]    | passed | 2 seconds       |
./spec/filewatcher_spec.rb[1:3:1:1:1]      | passed | 5.01 seconds    |
./spec/filewatcher_spec.rb[1:3:1:2:1]      | passed | 5.02 seconds    |
./spec/filewatcher_spec.rb[1:3:1:3:1]      | passed | 5.01 seconds    |
./spec/filewatcher_spec.rb[1:3:1:4:1]      | passed | 5.01 seconds    |
./spec/filewatcher_spec.rb[1:3:1:5:1]      | passed | 5.01 seconds    |
./spec/filewatcher_spec.rb[1:3:2:1]        | passed | 2.01 seconds    |
./spec/filewatcher_spec.rb[1:4:1]          | passed | 2 seconds       |
./spec/filewatcher_spec.rb[1:5:1]          | passed | 7.21 seconds    |
./spec/filewatcher_spec.rb[1:6:1:1]        | passed | 7.41 seconds    |
./spec/filewatcher_spec.rb[1:6:2:1]        | passed | 11.41 seconds   |
./spec/filewatcher_spec.rb[1:7:1]          | passed | 6.01 seconds    |
